master_seed,checkpoint_step,success_rate,collision_rate,truncation_rate,swap_eligibility,n_episodes,mean_episode_length,median_episode_length,n_success
64001,0,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64001,25000,0.75,0.125,0.125,0.125,16,139.3125,84.5,12
64001,50000,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64001,75000,0.0625,0.0,0.9375,0.0,16,378.25,400.0,1
64001,100000,0.9375,0.0625,0.0,0.75,16,63.5625,59.0,15
64001,125000,1.0,0.0,0.0,0.375,16,62.25,58.0,16
64001,150000,0.625,0.0625,0.3125,0.0,16,167.6875,70.0,10
64001,175000,0.875,0.0,0.125,0.0,16,108.375,66.5,14
64001,200000,1.0,0.0,0.0,0.0,16,66.75,68.5,16
64001,225000,1.0,0.0,0.0,0.5,16,61.0,59.5,16
64001,250000,0.625,0.0,0.375,0.25,16,222.0,175.5,10
64001,275000,0.9375,0.0625,0.0,0.125,16,62.3125,56.0,15
64001,300000,0.875,0.0625,0.0625,0.125,16,86.875,61.5,14
64001,325000,0.4375,0.375,0.1875,0.0,16,122.5,69.0,7
64001,350000,0.6875,0.125,0.1875,0.25,16,131.9375,77.5,11
64001,375000,0.9375,0.0625,0.0,0.25,16,67.6875,70.0,15
64001,400000,0.625,0.125,0.25,0.0,16,137.8125,55.0,10
64002,0,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64002,25000,0.9375,0.0,0.0625,0.375,16,86.625,58.0,15
64002,50000,1.0,0.0,0.0,0.5,16,62.125,60.0,16
64002,75000,0.8125,0.1875,0.0,0.625,16,53.25,61.0,13
64002,100000,0.9375,0.0,0.0625,0.5,16,93.25,67.5,15
64002,125000,1.0,0.0,0.0,0.125,16,57.1875,56.0,16
64002,150000,0.875,0.0625,0.0625,0.25,16,81.5,60.0,14
64002,175000,1.0,0.0,0.0,0.25,16,59.125,58.5,16
64002,200000,0.8125,0.125,0.0625,0.375,16,87.75,55.5,13
64002,225000,1.0,0.0,0.0,0.5,16,66.1875,60.0,16
64002,250000,0.4375,0.0625,0.5,0.0,16,231.0625,239.5,7
64002,275000,0.8125,0.0625,0.125,0.125,16,113.4375,67.5,13
64002,300000,0.375,0.0,0.625,0.0,16,281.1875,400.0,6
64002,325000,1.0,0.0,0.0,0.125,16,64.8125,62.0,16
64002,350000,1.0,0.0,0.0,0.75,16,59.9375,54.5,16
64002,375000,1.0,0.0,0.0,0.25,16,53.6875,54.0,16
64002,400000,1.0,0.0,0.0,0.5,16,60.9375,60.0,16
64003,0,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64003,25000,0.5,0.0625,0.4375,0.0,16,230.4375,216.0,8
64003,50000,0.75,0.0,0.25,0.0,16,147.1875,62.0,12
64003,75000,0.5625,0.0,0.4375,0.125,16,210.0625,71.0,9
64003,100000,0.8125,0.1875,0.0,0.375,16,53.6875,59.5,13
64003,125000,0.875,0.125,0.0,0.375,16,50.75,54.5,14
64003,150000,1.0,0.0,0.0,0.5,16,57.375,57.5,16
64003,175000,1.0,0.0,0.0,0.375,16,55.4375,51.0,16
64003,200000,0.9375,0.0625,0.0,0.25,16,61.8125,62.0,15
64003,225000,0.3125,0.0,0.6875,0.0,16,292.0625,400.0,5
64003,250000,0.4375,0.0625,0.5,0.0,16,227.3125,232.5,7
64003,275000,0.875,0.125,0.0,0.625,16,61.125,58.5,14
64003,300000,0.5625,0.0,0.4375,0.125,16,237.5625,227.0,9
64003,325000,1.0,0.0,0.0,0.75,16,77.8125,65.0,16
64003,350000,0.9375,0.0625,0.0,0.5,16,59.6875,60.0,15
64003,375000,0.0625,0.0,0.9375,0.0,16,378.6875,400.0,1
64003,400000,0.0,0.0625,0.9375,0.0,16,376.8125,400.0,0
64004,0,0.0,0.1875,0.8125,0.0,16,331.75,400.0,0
64004,25000,0.9375,0.0,0.0625,0.5,16,86.0625,60.0,15
64004,50000,0.875,0.0625,0.0625,0.5,16,77.875,53.5,14
64004,75000,0.8125,0.0,0.1875,0.0,16,125.9375,68.0,13
64004,100000,1.0,0.0,0.0,0.75,16,78.25,66.0,16
64004,125000,0.75,0.25,0.0,0.0,16,46.1875,51.5,12
64004,150000,0.9375,0.0,0.0625,0.25,16,93.1875,68.0,15
64004,175000,1.0,0.0,0.0,0.875,16,61.9375,57.0,16
64004,200000,1.0,0.0,0.0,0.875,16,56.8125,55.5,16
64004,225000,0.9375,0.0,0.0625,0.75,16,73.1875,50.5,15
64004,250000,0.9375,0.0625,0.0,0.375,16,51.4375,53.5,15
64004,275000,0.6875,0.1875,0.125,0.0,16,96.9375,55.5,11
64004,300000,0.875,0.125,0.0,0.125,16,54.75,58.5,14
64004,325000,1.0,0.0,0.0,0.25,16,64.9375,59.5,16
64004,350000,0.875,0.125,0.0,0.125,16,49.625,52.5,14
64004,375000,0.875,0.125,0.0,0.0,16,58.0,53.0,14
64004,400000,0.5625,0.1875,0.25,0.0,16,144.8125,71.0,9
64005,0,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64005,25000,0.4375,0.125,0.4375,0.0,16,213.125,96.5,7
64005,50000,0.4375,0.1875,0.375,0.0,16,184.5625,74.0,7
64005,75000,0.3125,0.0625,0.625,0.0,16,276.1875,400.0,5
64005,100000,0.0625,0.0,0.9375,0.0,16,381.75,400.0,1
64005,125000,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64005,150000,0.5625,0.4375,0.0,0.25,16,42.8125,52.5,9
64005,175000,0.625,0.0,0.375,0.25,16,214.25,151.0,10
64005,200000,0.5625,0.0,0.4375,0.0,16,231.3125,146.0,9
64005,225000,0.9375,0.0,0.0625,0.0,16,90.6875,68.5,15
64005,250000,1.0,0.0,0.0,0.125,16,56.75,56.0,16
64005,275000,0.9375,0.0,0.0625,0.0,16,89.25,67.0,15
64005,300000,1.0,0.0,0.0,0.125,16,59.0,57.0,16
64005,325000,1.0,0.0,0.0,0.25,16,73.375,72.0,16
64005,350000,0.9375,0.0625,0.0,0.375,16,51.0,52.5,15
64005,375000,0.75,0.0625,0.1875,0.125,16,147.125,102.5,12
64005,400000,0.875,0.125,0.0,0.375,16,52.3125,56.0,14
64006,0,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64006,25000,0.6875,0.0,0.3125,0.25,16,187.0,105.5,11
64006,50000,0.6875,0.0,0.3125,0.25,16,174.5625,71.0,11
64006,75000,0.875,0.125,0.0,0.25,16,90.0,53.0,14
64006,100000,1.0,0.0,0.0,0.5,16,58.9375,60.0,16
64006,125000,1.0,0.0,0.0,0.375,16,66.125,59.5,16
64006,150000,0.9375,0.0625,0.0,0.75,16,48.25,51.0,15
64006,175000,1.0,0.0,0.0,0.375,16,55.125,53.5,16
64006,200000,1.0,0.0,0.0,0.125,16,63.75,62.0,16
64006,225000,0.5,0.0,0.5,0.0,16,228.1875,231.0,8
64006,250000,0.9375,0.0625,0.0,0.375,16,69.75,71.0,15
64006,275000,1.0,0.0,0.0,0.375,16,59.875,61.5,16
64006,300000,0.75,0.0,0.25,0.0,16,142.4375,54.5,12
64006,325000,1.0,0.0,0.0,0.875,16,55.125,55.5,16
64006,350000,0.375,0.0,0.625,0.125,16,268.0,400.0,6
64006,375000,0.4375,0.0625,0.5,0.0,16,227.0625,231.0,7
64006,400000,0.5,0.0,0.5,0.0,16,247.25,259.0,8
64007,0,0.3125,0.1875,0.5,0.0,16,228.1875,242.0,5
64007,25000,0.5625,0.125,0.3125,0.0,16,192.75,128.5,9
64007,50000,0.9375,0.0,0.0625,0.0,16,104.625,86.0,15
64007,75000,0.9375,0.0,0.0625,0.0,16,75.8125,52.0,15
64007,100000,0.75,0.25,0.0,0.25,16,43.0625,50.0,12
64007,125000,0.9375,0.0625,0.0,0.125,16,57.1875,55.0,15
64007,150000,0.9375,0.0625,0.0,0.0,16,57.8125,57.0,15
64007,175000,0.4375,0.0625,0.5,0.0,16,224.4375,228.0,7
64007,200000,0.5,0.0625,0.4375,0.0,16,204.9375,59.0,8
64007,225000,0.9375,0.0625,0.0,0.875,16,64.4375,60.5,15
64007,250000,1.0,0.0,0.0,0.625,16,66.4375,66.5,16
64007,275000,1.0,0.0,0.0,0.75,16,56.3125,56.0,16
64007,300000,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64007,325000,0.9375,0.0625,0.0,0.875,16,75.25,70.0,15
64007,350000,0.8125,0.0625,0.125,0.75,16,125.375,87.5,13
64007,375000,0.9375,0.0625,0.0,0.875,16,50.4375,53.5,15
64007,400000,1.0,0.0,0.0,1.0,16,53.0625,53.5,16
64008,0,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64008,25000,0.3125,0.25,0.4375,0.0,16,230.3125,232.0,5
64008,50000,0.6875,0.1875,0.125,0.0,16,102.1875,62.0,11
64008,75000,1.0,0.0,0.0,0.375,16,53.9375,52.5,16
64008,100000,1.0,0.0,0.0,0.25,16,59.0,58.0,16
64008,125000,0.9375,0.0625,0.0,0.375,16,50.375,51.0,15
64008,150000,0.5625,0.125,0.3125,0.125,16,156.8125,54.5,9
64008,175000,1.0,0.0,0.0,0.5,16,63.375,62.5,16
64008,200000,1.0,0.0,0.0,0.75,16,59.1875,57.0,16
64008,225000,1.0,0.0,0.0,0.0,16,56.6875,55.0,16
64008,250000,0.75,0.1875,0.0625,0.125,16,74.4375,58.0,12
64008,275000,1.0,0.0,0.0,0.25,16,52.25,51.5,16
64008,300000,1.0,0.0,0.0,0.125,16,56.0625,58.0,16
64008,325000,0.75,0.0,0.25,0.0,16,144.3125,60.0,12
64008,350000,1.0,0.0,0.0,0.125,16,53.1875,53.5,16
64008,375000,1.0,0.0,0.0,0.0,16,53.75,52.0,16
64008,400000,0.75,0.25,0.0,0.0,16,47.0,48.5,12
64009,0,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64009,25000,0.0625,0.0625,0.875,0.0,16,355.9375,400.0,1
64009,50000,0.6875,0.0,0.3125,0.0,16,167.375,62.5,11
64009,75000,0.625,0.25,0.125,0.0,16,108.8125,72.0,10
64009,100000,0.8125,0.125,0.0625,0.0,16,78.5,61.0,13
64009,125000,0.9375,0.0,0.0625,0.125,16,76.75,54.0,15
64009,150000,0.875,0.0,0.125,0.5,16,95.5625,51.0,14
64009,175000,0.9375,0.0625,0.0,0.25,16,53.375,56.0,15
64009,200000,0.875,0.125,0.0,0.375,16,50.3125,54.0,14
64009,225000,1.0,0.0,0.0,0.625,16,52.125,50.0,16
64009,250000,0.9375,0.0625,0.0,0.125,16,46.125,47.5,15
64009,275000,1.0,0.0,0.0,0.0,16,65.875,61.0,16
64009,300000,0.9375,0.0625,0.0,0.25,16,48.3125,50.5,15
64009,325000,1.0,0.0,0.0,0.25,16,59.25,58.5,16
64009,350000,1.0,0.0,0.0,0.125,16,66.25,60.0,16
64009,375000,1.0,0.0,0.0,0.375,16,65.3125,62.5,16
64009,400000,0.1875,0.375,0.4375,0.0,16,201.6875,99.0,3
64010,0,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64010,25000,0.5625,0.0,0.4375,0.0,16,214.5,86.5,9
64010,50000,0.25,0.0625,0.6875,0.0,16,302.5,400.0,4
64010,75000,0.9375,0.0,0.0625,0.875,16,93.875,68.0,15
64010,100000,0.5,0.125,0.375,0.0,16,191.1875,84.5,8
64010,125000,0.125,0.0,0.875,0.0,16,360.0625,400.0,2
64010,150000,0.3125,0.0,0.6875,0.0,16,295.5,400.0,5
64010,175000,0.6875,0.3125,0.0,0.25,16,52.0625,59.5,11
64010,200000,0.9375,0.0,0.0625,0.25,16,77.25,56.0,15
64010,225000,0.3125,0.1875,0.5,0.0,16,221.8125,230.5,5
64010,250000,0.5,0.25,0.25,0.375,16,181.5625,148.0,8
64010,275000,1.0,0.0,0.0,0.375,16,66.0625,53.5,16
64010,300000,1.0,0.0,0.0,0.375,16,57.75,58.0,16
64010,325000,1.0,0.0,0.0,0.125,16,71.8125,57.0,16
64010,350000,1.0,0.0,0.0,0.625,16,52.5,49.5,16
64010,375000,0.9375,0.0625,0.0,0.375,16,50.3125,50.5,15
64010,400000,1.0,0.0,0.0,0.375,16,52.375,52.0,16
64011,0,0.0,0.0,1.0,0.0,16,400.0,400.0,0
64011,25000,1.0,0.0,0.0,0.625,16,75.875,67.0,16
64011,50000,1.0,0.0,0.0,0.5,16,65.4375,63.0,16
64011,75000,1.0,0.0,0.0,0.375,16,51.4375,51.5,16
64011,100000,0.9375,0.0625,0.0,0.375,16,68.0625,65.0,15
64011,125000,0.875,0.0,0.125,0.125,16,104.8125,63.0,14
64011,150000,0.9375,0.0,0.0625,0.25,16,81.25,50.0,15
64011,175000,1.0,0.0,0.0,0.0,16,120.0,53.5,16
64011,200000,0.5,0.0,0.5,0.125,16,264.0,305.5,8
64011,225000,0.875,0.0625,0.0625,0.25,16,111.125,65.5,14
64011,250000,0.9375,0.0625,0.0,0.5,16,55.8125,56.5,15
64011,275000,1.0,0.0,0.0,0.875,16,60.1875,58.0,16
64011,300000,1.0,0.0,0.0,0.625,16,62.0625,62.5,16
64011,325000,0.9375,0.0625,0.0,0.0,16,55.9375,54.5,15
64011,350000,0.875,0.0,0.125,0.125,16,104.4375,59.0,14
64011,375000,0.8125,0.0625,0.125,0.125,16,101.4375,58.5,13
64011,400000,1.0,0.0,0.0,0.25,16,49.25,48.5,16
64012,0,0.25,0.75,0.0,0.0,16,25.0,18.0,4
64012,25000,0.5625,0.0,0.4375,0.25,16,207.0625,60.5,9
64012,50000,0.0625,0.0,0.9375,0.0,16,383.625,400.0,1
